a        | 啊  | Particle                       → Ahhh, Oh, Aha
zhang    | 胀  | Expand                         → Acid, Inflation, Inflation
zhang    | 彰  | Clear                          → Highlight, Award, Huangzhang
zhang    | 蟑  | Cockroach                      → [无建议, 可用首字母: ADFGHIKNQUVWXY]
zhang    | 樟  | Tree                           → Dram, Agarwood, Xiangzhangshu
zhang    | 嶂  | Peak                           → Xizhangpaiqing
zhao     | 照  | Shine                          → Irradiation, Guozhao, Jingzhao
zhao     | 召  | Summon                         → Xilituzhao, Houzhaomiaoliaoshikusi, Inspire
zhao     | 罩  | Cover                          → Net, Mask, Lantern
zhao     | 爪  | Claw                           → Java, Tiger, Grasping
zhao     | 昭  | Clear                          → Wuzhaowangligao, Hanzhaodi, Houzhaozhong
zhao     | 肇  | Cause                          → Wangzhaoji, Liuzhao, Xuzhaonan
zhao     | 钊  | Surname Zhao                   → Li, Lidazhaoguju, Lidazhaolieshilingyuan
zhe      | 着  | Particle                       → Open, Nodding, Floating
zhe      | 者  | Who                            → Learner, Zhelemi, Qualified
zhe      | 哲  | Wise                           → Yangmingzhe, Yangzhebin, Liuwenzhe
zhe      | 遮  | Hide                           → Unobstructed, Obscure, Light-blocking
zhe      | 浙  | River                          → Jiang, Zhejiang, Zhejiang
zhe      | 辙  | Rut                            → Zhuzhe
zhe      | 褶  | Wrinkle                        → Zhouzhe, Fold
zhe      | 蛰  | Hibernate                      → Jingzhe
zhe      | 蔗  | Sugarcane                      → [无建议, 可用首字母: DFGIJKLMNOQUVXYZ]
zhe      | 蜇  | Sting                          → Jellyfish
zhe      | 鹧  | Partridge                      → Zhegutian
zhe      | 赭  | Reddish brown                  → Zhebai, Ochre, Ocher
zhen     | 真  | True                           → Zhujiuzhen, Gold, Qingzhensi
zhen     | 阵  | Array                          → Zhenji, Matrix, Zhenqingjianmiezhanjinianbei
zhen     | 震  | Shake                          → Chenzhen, Zhenzai, Yangzhen
zhen     | 镇  | Town                           → Ouzhouxiaozhen, Zhenhai, Huangzhenqiu
zhen     | 珍  | Rare                           → Bao, Yinzhen, Cherish
zhen     | 针  | Pin                            → Needlework, Hinge, Criticize
zhen     | 振  | Shake                          → Inspiring, Zheng, Zhendong
zhen     | 侦  | Detect                         → Investigation, Investigation, Investigator
zhen     | 枕  | Pillow                         → Worry-free, Xianzhenshi, Zhentouzhou
zhen     | 甄  | Select                         → Chenchunzhen, Zhongzhen, Zhenwei
zhen     | 斟  | Pour                           → Consider
zhen     | 祯  | Auspicious                     → Wangzhen, Zhouzhen, Chenhuizhen
zhen     | 臻  | Attain                         → Zhuangzhenfeng, Caijiazhen, Nie
zhen     | 桢  | Pillar                         → Xieguozhen, Yangweizhen, Zhouzhizhen
zhen     | 箴  | Admonish                       → Chenbaozhen
zhen     | 缜  | Dense                          → Meticulous
zhen     | 圳  | Ditch                          → [无建议, 可用首字母: BCGHIJKMNOQUVWXYZ]
zhen     | 赈  | Relieve                        → [无建议, 可用首字母: BCGHIJKMNOQUVWXYZ]
zhen     | 疹  | Rash                           → Measles
zhen     | 砧  | Anvil                          → Cleaver
zhen     | 稹  | Dense                          → Yuanzhen, Yuan
zheng    | 正  | Right                          → Qianzhenglun, Lizhengxian, Unhealthy
zheng    | 政  | Politics                       → Heitianchangzheng, Financial, Financial
zheng    | 证  | Prove                          → Dialectical, Without, Fully
zheng    | 怔  | Stare                          → Daydreaming, Freeze
zheng    | 症  | Symptom                        → Illness, Inflammatory, Insomnia
zheng    | 拯  | Save                           → Wangzheng, Jiangzhengqiang
zheng    | 诤  | Remonstrate                    → Wangzheng
zhi      | 知  | Know                           → Xuzhiyuan, Zhiben, Zhizhou
zhi      | 直  | Upright                        → Xizhimen, Zuotengzhiji, Zhitonghuowulieche
zhi      | 至  | Until                          → Zhouzhixian, Zhouzhirou, Zhouzhi
zhi      | 之  | Possessive                     → Zhangzhiwan, Xiaochengzhichun, Zhaozhichen
zhi      | 指  | Point                          → Quality, Zhiyuanlinai, Zhilubei
zhi      | 制  | Make                           → Zhiyaochang, Zhiguanchang, Qin
zhi      | 支  | Support                        → Zhiyunta, Xiaofangzhidui
zhi      | 志  | Will                           → Zhangzhirang, Qizhicheng, Xiaoliangzhi
zhi      | 止  | Stop                           → Zhizhong, Ximenguanzhi, Zhiqing
zhi      | 治  | Cure                           → Qing, Zhaozhixun, Zuozhi
zhi      | 质  | Nature                         → Quality, Quality, Question
zhi      | 置  | Put                            → [无建议, 可用首字母: QXZ]
zhi      | 致  | Send                           → Zhangzhizhong, Qizhizhong, Zhihe
zhi      | 职  | Job                            → Zhifangyuan, Zhigao, Qualified
zhi      | 智  | Wisdom                         → Quick-witted, Zhaozhifeng, Zhihuasi
zhi      | 纸  | Paper                          → Zhicaocun, Zaozhi, Zhifang
zhi      | 织  | Knit                           → Zhizaoshujiuzhi, Zhitianyuer, Zhijin
zhi      | 枝  | Branch                         → Zhuzhishan, Zhangjinzhi, Xiaozhi
zhi      | 旨  | Aim                            → Zhouzhi
zhi      | 芝  | Sesame                         → Zhengguangzhi, Zhangruzhi, Zhima
zhi      | 吱  | Squeak                         → [无建议, 可用首字母: QXZ]
zhi      | 肢  | Arm                            → [无建议, 可用首字母: QXZ]
zhi      | 侄  | Nephew                         → [无建议, 可用首字母: QXZ]
zhi      | 脂  | Fat                            → Zhixi, Zhi
zhi      | 址  | Site                           → Zhouenlaizaijinhuodongjiuzhi, Zhizaoshujiuzhi, Zhengguoqushouyizhi
zhi      | 汁  | Juice                          → [无建议, 可用首字母: QXZ]
zhi      | 殖  | Breed                          → [无建议, 可用首字母: QXZ]
zhi      | 掷  | Cast                           → [无建议, 可用首字母: QXZ]
zhi      | 秩  | Rank                           → [无建议, 可用首字母: QXZ]
zhi      | 窒  | Suffocate                      → [无建议, 可用首字母: QXZ]
zhi      | 芷  | Angelica                       → Zhouzhiruo, Zhijiang
zhi      | 峙  | Stand                          → [无建议, 可用首字母: QXZ]
zhi      | 挚  | Sincere                        → [无建议, 可用首字母: QXZ]
zhi      | 蜘  | Spider                         → [无建议, 可用首字母: QXZ]
zhi      | 帜  | Flag                           → [无建议, 可用首字母: QXZ]
zhi      | 炙  | Roast                          → [无建议, 可用首字母: QXZ]
zhi      | 痣  | Mole                           → [无建议, 可用首字母: QXZ]
zhi      | 雉  | Pheasant                       → [无建议, 可用首字母: QXZ]
zhi      | 栉  | Comb                           → [无建议, 可用首字母: QXZ]
zhi      | 祉  | Blessing                       → [无建议, 可用首字母: QXZ]
zhi      | 桎  | Fetter                         → [无建议, 可用首字母: QXZ]
zhi      | 蛭  | Leech                          → [无建议, 可用首字母: QXZ]
zhi      | 鸷  | Fierce                         → [无建议, 可用首字母: QXZ]
zhi      | 豸  | Beast                          → [无建议, 可用首字母: QXZ]
zhi      | 踯  | Linger                         → [无建议, 可用首字母: QXZ]
zhi      | 跖  | Sole                           → [无建议, 可用首字母: QXZ]
zhi      | 帙  | Book cover                     → [无建议, 可用首字母: QXZ]
zhi      | 识  | Know                           → [无建议, 可用首字母: QXZ]
zhi      | 氏  | Surname                        → Xu, Zhoushi, Qin
zhong    | 中  | Middle                         → Zhongbei, Qiaozhong, Data
zhong    | 仲  | Middle                         → Du, Zi, Zhongchangtong
zhong    | 衷  | Sincere                        → Original, Jinhuidisimazhong, Deep
zhong    | 肿  | Swell                          → Anti-tumor, Zhongliuyiyuan
zhou     | 州  | State                          → Jiangzhoudatang, Jiao, Qiongzhou
zhou     | 皱  | Crease                         → Frowning, Fold
zhou     | 咒  | Curse                          → [无建议, 可用首字母: FGJKLMNOQRUVXY]
zhou     | 舟  | Boat                           → Gu, Riding, Fishermen
zhou     | 骤  | Sudden                         → Key, Operating, Violent
zhou     | 帚  | Broom                          → [无建议, 可用首字母: FGJKLMNOQRUVXY]
zhou     | 诌  | Chatter                        → [无建议, 可用首字母: FGJKLMNOQRUVXY]
zhou     | 妯  | Sister-in-law                  → [无建议, 可用首字母: FGJKLMNOQRUVXY]
zhu      | 住  | Live                           → Resist, Residential, Zhuzhaixiaoqu
zhu      | 主  | Main                           → Nihilism, Unilateralism, Running
zhu      | 注  | Pour                           → Registration, Focus, Registered
zhu      | 著  | Write                          → Famous, Notorious, Zhùmíng
zhu      | 珠  | Gem                            → Zhenzhuquan, Jinnanzhu, Rosary
zhu      | 逐  | Chase                          → Following, Frame, Year
zhu      | 竹  | Bamboo                         → Zhulinkuangshi, Zhuzhongbanbingwei, Jinzhuyuan
zhu      | 猪  | Pig                            → Raise
zhu      | 祝  | Wish                           → Zhuxijuan, Zhuwang, Zhuyunming
zhu      | 筑  | Build                          → Jianzhushejiyuan, Jianzhusheji, Road
zhu      | 柱  | Pillar                         → Four, Qinxiaowenwangyingzhu, Yuzhu
zhu      | 驻  | Stop                           → Residency, Reside, Zhumadianshi
zhu      | 烛  | Candle                         → Red, Zhuyin
zhu      | 煮  | Boil                           → [无建议, 可用首字母: FJNQRUXYZ]
zhu      | 蛛  | Spider                         → [无建议, 可用首字母: FJNQRUXYZ]
zhu      | 株  | Tree                           → Zhuzhou
zhu      | 铸  | Cast                           → Jichaozhu, Xurenzhu, Forging
zhu      | 诛  | Kill                           → [无建议, 可用首字母: FJNQRUXYZ]
zhu      | 竺  | Bamboo                         → Zhukezhen, Nantianzhu, Zhongtianzhu
zhu      | 瞩  | Gaze                           → Remarkable, Far-sighted
zhu      | 伫  | Stand                          → [无建议, 可用首字母: FJNQRUXYZ]
